Year,Fuel,Share
2001,Petrol,82.1
2001,Diesel,17.8
2002,Petrol,76.2
2002,Diesel,23.7
2003,Petrol,72.3
2003,Diesel,27.5
2004,Petrol,67.3
2004,Diesel,32.6
2005,Petrol,63.2
2005,Diesel,36.6
2006,Petrol,61.5
2006,Diesel,38.1
2007,Petrol,59.3
2007,Diesel,40
2008,Petrol,56
2008,Diesel,43.2
2009,Petrol,57.8
2009,Diesel,41.4
2010,Petrol,53.1
2010,Diesel,45.7
2011,Petrol,48.5
2011,Diesel,50.3
2012,Petrol,48.1
2012,Diesel,50.5
2013,Petrol,49
2013,Diesel,49.5
2014,Petrol,48.1
2014,Diesel,49.8
2015,Petrol,49
2015,Diesel,48.2
2016,Petrol,49.3
2016,Diesel,47.4
